"","freq","prev","p.freq","p.prev","p","contaminant"
"eb43fc67f81c3b43743e234f18d6a076",0.0129664891026866,11,NA,0.21877823028508,0.21877823028508,TRUE
"e0a16f98b564fab60559ee961dd08dac",0.00586865012466266,15,NA,0.296630877452795,0.296630877452795,TRUE
"cf87814776398f3c3ad71c6b0e7fd086",0.0107487751807248,19,NA,0.372824879674195,0.372824879674195,TRUE
"792972f1ede5928ea461e61690c7709a",0.00153704927912245,3,NA,0.0599925953350611,0.0599925953350611,TRUE
"2f4f8d6aef04b2e63de3278e7faf0c73",0.0145589705206654,21,NA,0.410151795631248,0.410151795631248,TRUE
"0fa9a39ce5c6418a203d785f2a812fa2",0.000313775695193104,2,NA,0.0399999999999999,0.0399999999999999,TRUE
"b503a591759a010221e29a89d1cdd878",0.0187191043723867,17,NA,0.33496482784154,0.33496482784154,TRUE
"268d84d4df973e6d848ce4e653550029",0.000666357900360083,19,NA,0.372824879674195,0.372824879674195,TRUE
"a294bcff5a21be467e541d3c7f881d05",0.00029722337741031,3,NA,0.0599925953350611,0.0599925953350611,TRUE
"715a0951fc8cb2f996baa81b5740378a",0.00392137996899563,30,NA,0.205072195483154,0.205072195483154,TRUE
"25c2c45fbfea7f5f20ce13e29f3fcb3e",0.000185698853491313,6,NA,0.119851906701222,0.119851906701222,TRUE
"1a29af58eac67385c48298b336f1cb89",0.00962515661630972,19,NA,0.372824879674195,0.372824879674195,TRUE
"1bb66042ac7794ed2ec3834ce78d43f1",0.00516057563497909,7,NA,0.139740836727138,0.139740836727138,TRUE
"51627b4ac2bd9b965b19ece47cf65281",0.0417223735413319,21,NA,0.410151795631248,0.410151795631248,TRUE
"3b839477a29ee930ce0deaa8d7143e81",0.0224485769815593,27,NA,0.168071084783414,0.168071084783414,TRUE
"517c16300e566886759a218dfdc79c95",0.0179532913706318,12,NA,0.0340466493891151,0.0340466493891151,TRUE
"0c7a1b36a55ed09019e0349c51eec7f3",0.00422169366954227,15,NA,0.296630877452795,0.296630877452795,TRUE
"23b900b3953842501dcd26a17ee11def",0.000144848447950984,4,NA,0.0799703813402443,0.0799703813402443,TRUE
"37fbde8cf8edac9d12cf20253da488de",0.000282256045421235,10,NA,0.199111440207331,0.199111440207331,TRUE
